Cluster,Ray
Ptr01,0.23629917
Ptr01,0.138595486
Ptr01,0.106310664
Ptr01,0.160441817
Ptr01,0.101703241
Ptr01,0.135935526
Ptr01,0.175090476
Ptr01,0.203289922
Ptr01,0.161611208
Ptr01,0.159065419
Ptr01,0.155178427
Ptr01,0.203551839
Ptr01,0.238003701
Ptr01,0.161363831
Ptr01,0.148161328
Ptr01,0.149956903
Ptr01,0.189915887
Ptr01,0.214994259
Ptr01,0.199898729
Ptr01,0.14340328
Ptr01,0.297621683
Ptr01,0.234063055
Ptr01,0.128930971
Ptr01,0.11958171
Ptr01,0.238186772
Ptr01,0.190203063
Ptr01,0.160307206
Ptr01,0.244311861
Ptr01,0.107758144
Ptr01,0.114095635
Ptr01,0.150428181
Ptr01,0.231826282
Ptr01,0.231018996
Ptr01,0.172507681
Ptr01,0.130881533
Ptr01,0.104136657
Ptr01,0.145470739
Ptr01,0.185560278
Ptr01,0.10021684
Ptr01,0.224978389
Ptr01,0.283896764
Ptr01,0.130146507
Ptr01,0.222009403
Ptr01,0.180741153
Ptr01,0.141298379
Ptr01,0.133486418
Ptr01,0.091328009
Ptr01,0.236552881
Ptr01,0.496443475
Ptr01,0.221221174
Ptr01,0.143289206
Ptr01,0.231771929
Ptr01,0.211411244
Ptr01,0.180557307
Ptr01,0.152986083
Ptr01,0.205341352
Ptr01,0.176048432
Ptr01,0.174781284
Ptr01,0.252942853
Ptr01,0.166264762
Ptr01,0.175856173
Ptr01,0.16623747
Ptr01,0.184479067
Ptr01,0.22854855
Ptr01,0.215247343
Ptr01,0.145478636
Ptr01,0.177984298
Ptr01,0.192073317
Ptr01,0.143483864
Ptr01,0.176990847
Ptr01,0.251848109
Ptr01,0.155279649
Ptr01,0.090339446
Ptr01,0.172892674
Ptr01,0.111603673
Ptr01,0.24792324
Ptr01,0.130377398
Ptr02,0.120632923
Ptr02,0.207486175
Ptr02,0.258343128
Ptr02,0.187343381
Ptr02,0.2056321
Ptr02,0.210254653
Ptr02,0.142826789
Ptr02,0.225071374
Ptr02,0.173696465
Ptr02,0.241906544
Ptr02,0.236071751
