Cluster,Ray scUPlcmUP
#03,1.39961997
#01,0
#05,0.906216033
#08,5
#03,1.377453241
#01,1.930469164
#03,2.99086109
#08,5
#03,2.138446278
#01,0
#02,0.507500526
#08,0.976063997
#02,0.413122841
#01,0
#07,0
#06,0.926679314
#07,0
#09,0.939957357
#01,2.58718688
#03,1.691941578
#02,0
#02,0.811238357
#03,1.285187137
#04,4.33172231
#07,1.487131327
#07,0
#02,3.022465042
#01,0.739281317
#08,5
#02,0
#03,1.491152945
#10,0
#01,0
#01,1.002894073
#02,1.508423216
#01,1.721963431
#01,2.00605298
#01,0
#01,0
#04,2.232366679
#08,5
#02,1.362230828
#05,1.147350226
#01,0
#04,0.099063893
