Cluster,HD ZIP III
#01,0
#03,2.907355934
#01,1.281321492
#02,1.046029594
#01,1.455312899
#02,2.503162425
#02,0
#05,0.584901788
#03,1.594735279
#06,2.435110033
#05,0
#03,1.151129491
#05,1.188774705
#06,1.999883595
#05,3.253465376
#01,0
#01,1.081388327
#04,1.043978556
#03,2.026884672
#01,0
#01,0
#03,1.872765686
#05,1.075267823
#07,1.042169454
#05,0.481177836
#01,0.260274541
#08,1.374889217
#02,1.267544033
#01,0.783666786
#07,0
#06,1.306588015
#07,0
#05,1.032965311
#02,0.256059537
#07,1.001444862
#02,0.545532356
#01,1.32801726
#03,0.986767436
#04,3.002326437
#06,1.264175132
#08,1.18898991
#04,0
#05,1.135414925
#02,0.439490543
#05,0.139661592
#02,0.312544907
#01,0
#01,0
#03,1.805375645
#07,0
#01,1.437188458
#04,0
#06,1.371965544
#06,1.537395211
#07,0
#02,1.077867939
#07,0.347558331
#07,0.898288245
#05,1.104246046
#06,2.451077712
#01,1.58859033
#06,0.552378074
#02,0
#05,0
#05,2.273466416
#02,1.053585536
#07,0.85108619
#05,0.245950251
#02,0.442342419
#01,0.822066647
#02,1.78034985
#05,0.275265187
#06,1.388100168
#01,1.375056483
#04,0.803356404
#08,0.578547285
#01,0
#03,2.140214643
#02,0.856025208
#01,0
#06,0.570323261
#02,1.702149169
#02,0
#04,0.464906749
#03,0.832748797
#03,2.682080371
#05,0
#03,0.27592527
#01,2.266229235
#05,0.874923096
#08,1.084796473
#03,1.186113132
#01,0
#03,1.180665451
#08,0.43760979
#03,1.031667915
#01,1.9833894
#02,0
#08,0.325354666
#02,0.413122841
#01,0
#07,0
#06,1.937100207
#07,0
#09,1.115724606
#01,1.29359344
#03,0.583554097
#02,0
#02,2.43371507
#03,1.087541736
#04,1.363761288
#07,0.743565664
#07,1.255175933
#02,0
#01,0.739281317
#08,0.511500339
#02,1.042956225
#03,1.196600538
#10,0
#01,0
#01,0
#02,0.554445004
#01,0.46794903
#01,0.668684327
#01,3.338682169
#01,0.716408711
#04,0
#08,0.734282579
#02,2.759230439
#05,3.556529586
#01,2.014536001
#04,0.651821132
#03,0.910269839
#04,0.892109452
#05,0
#06,1.524150259
#03,1.860380148
#06,1.694455821
#03,0.777178448
#07,0
#07,0.260557348
#01,0
#01,0
#03,1.279026041
#03,1.119131154
#07,0.17269456
#01,0.699400886
#02,0
#05,1.952521459
#01,1.494764692
#01,0
#02,1.676380703
#08,0.324253148
#02,0
#01,0
#03,1.995977354
